"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"2","bilary",1,30,19442,614,19472,0.617848207559812,"global",0.617848207559812
"1","bilary",1,8,2175,614,2183,0.929145442942948,"conditional",0.929145442942948
