"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"2","lung",1,30,19442,182,19472,0.245675225538295,"global",0.245675225538295
"1","lung",1,5,2178,182,2183,0.353176848894895,"conditional",0.353176848894895
