"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"1","bilary",0,8,2175,441,2183,1,"conditional",1
"2","bilary",0,30,19442,441,19472,1,"global",1
