"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"2","bilary",1,30,19441,260,19471,0.332086825682471,"global",0.332086825682471
"1","bilary",1,8,2149,260,2157,0.642757689362574,"conditional",0.642757689362574
