"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"2","pancreas",1,30,19439,129,19469,0.180932017727071,"global",0.180932017727071
"1","pancreas",1,5,2127,129,2132,0.26829274309767,"conditional",0.26829274309767
