"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"1","bilary",0,7,2052,292,2059,1,"conditional",1
"2","bilary",0,30,19436,292,19466,1,"global",1
