"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"2","pancreas",2,30,19442,670,19472,0.276276093370542,"global",0.276276093370542
"1","pancreas",2,5,2132,670,2137,0.499539590638233,"conditional",0.499539590638233
