"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"1","pancreas",0,5,2152,260,2157,1,"conditional",1
"2","pancreas",0,30,19441,260,19471,1,"global",1
