"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"1","pancreas",0,5,2132,167,2137,1,"conditional",1
"2","pancreas",0,30,19442,167,19472,1,"global",1
