"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"2","bilary",1,30,19439,156,19469,0.214575576842383,"global",0.214575576842383
"1","bilary",1,8,2124,156,2132,0.456065597239594,"conditional",0.456065597239594
