"","list_name","successInSample_count","sample_count","notSample_count","success_count","population_count","pvalue","analysis","FDR"
"2","bilary",1,30,19436,473,19466,0.52218086764259,"global",0.52218086764259
"1","bilary",1,7,2052,473,2059,0.83960026597798,"conditional",0.83960026597798
