Gene name,Mutated samples,Samples tested
CTNNA2_ENST00000541047,88,809
CACNA1C_ENST00000399641,88,809
PCDH15_ENST00000395433,88,809
PCDH15_ENST00000617051,88,809
CACNA1C_ENST00000399638,88,809
CACNA1C_ENST00000399597,88,809
CACNA1C_ENST00000335762,88,809
CACNA1C_ENST00000399649,88,809
CACNA1C_ENST00000399603,88,809
CACNA1C_ENST00000399629,88,809
CACNA1C_ENST00000327702,88,809
CACNA1C_ENST00000399601,88,809
PCDH15_ENST00000437009,88,809
CACNA1C_ENST00000399644,88,809
PCDH15_ENST00000361849,88,809
FBXW7_ENST00000281708,87,1759
EGFR_ENST00000455089,86,2442
PKHD1L1,86,809
PCDHGB3,85,807
ARID2,85,1688
NRXN1_ENST00000405472,85,809
NCKAP5,85,807
NRXN1_ENST00000406316,85,809
NCKAP5_ENST00000409213,85,807
PCLO,85,809
NRXN1_ENST00000625672,85,809
NRXN1,85,809
NRXN1_ENST00000630543,85,809
PCDHGA6,85,807
NRXN1_ENST00000401669,85,809
NCKAP5_ENST00000317721,85,807
NCKAP5_ENST00000405974,85,807
CNTNAP2,85,809
SDK1,84,809
SDK1_ENST00000389531,84,809
SDK1_ENST00000615806,84,809
DOCK2,83,834
PTPRT_ENST00000373184,83,1081
PTPRT_ENST00000373187,83,1081
CELF2_ENST00000637215,83,809
LRP2,83,809
CELF2_ENST00000636488,83,809
ROBO2,83,1162
AF241726.2,83,807
PCLO_ENST00000423517,83,809
PTPRT_ENST00000373190,83,1081
PTPRT,83,1081
PTPRT_ENST00000373193,83,1081
PTPRT_ENST00000373201,83,1081
PTPRT_ENST00000356100,83,1081
ERBB4,82,1508
OTOGL,82,807
PCDHGA7,82,807
ERBB4_ENST00000436443,82,1508
CUBN,82,809
CELF2_ENST00000638035,82,809
PAPPA2,82,809
COL22A1,82,809
OTOGL_ENST00000646859,82,807
ERBB4_ENST00000402597,81,1508
NRXN3,81,809
ASTN2,81,809
ASTN2_ENST00000313400,81,809
NRXN3_ENST00000634499,81,809
ATR,81,1609
ASTN2_ENST00000361477,81,809
ABCA13,81,809
RELN,80,810
RELN_ENST00000424685,80,810
CELF2_ENST00000416382,80,809
CELF2_ENST00000631460,80,809
RELN_ENST00000343529,80,810
DSCAM,79,809
MYO18B_ENST00000536101,79,809
ROBO2_ENST00000461745,79,1162
USH2A,79,809
